learning rate,train_loss,train_acc,verify_loss,verify_acc
5e-05,4.8018598556518555,0.34375,1.140605092048645,0.315625
0.0001,1.639370083808899,0.390625,1.0038856267929077,0.48125
0.00015,1.0791919231414795,0.5,0.9664999842643738,0.4984375
0.0002,0.8027762770652771,0.65625,0.8790352940559387,0.5875
0.00025,0.8314483761787415,0.671875,0.7366885542869568,0.6796875
0.0003,0.767035961151123,0.640625,0.6833788752555847,0.721875
0.00035,0.6715868711471558,0.703125,0.6587626338005066,0.709375
0.0004,0.5850239396095276,0.8125,0.6073417067527771,0.778125
0.00045000000000000004,0.5904557108879089,0.765625,0.547718346118927,0.76875
0.0005,0.49294936656951904,0.765625,0.4730660617351532,0.771875
0.00055,0.7911465167999268,0.6875,0.6876105070114136,0.7
0.0006,0.336661696434021,0.90625,0.4715329110622406,0.8140625
0.0006500000000000001,0.27076834440231323,0.9375,0.5634893774986267,0.8015625
0.0007,0.3483605980873108,0.875,0.6222020387649536,0.7703125
0.00075,0.3256928026676178,0.84375,0.6225226521492004,0.796875
0.0008,0.2602733373641968,0.890625,0.6986083388328552,0.75
0.00085,0.3838966488838196,0.875,0.6648810505867004,0.734375
0.0009000000000000001,0.16328030824661255,0.9375,0.7105025053024292,0.79375
0.00095,0.2024533897638321,0.890625,0.5891512036323547,0.8109375
0.001,0.3076024651527405,0.890625,0.40648624300956726,0.85625
0.00095,0.20342828333377838,0.90625,0.46188637614250183,0.8703125
0.0009025,0.20723766088485718,0.90625,0.5926861763000488,0.8265625
0.000857375,0.0731353685259819,0.984375,0.8543960452079773,0.825
0.0008145062499999999,0.13104437291622162,0.9375,0.47737741470336914,0.828125
0.0007737809374999998,0.2577895224094391,0.890625,0.9203352332115173,0.7375
0.0007350918906249999,0.28166571259498596,0.921875,0.46238788962364197,0.8390625
0.0006983372960937497,0.13460136950016022,0.9375,0.4858240783214569,0.8296875
0.0006634204312890623,0.21101553738117218,0.890625,0.5800220370292664,0.7984375
0.0006302494097246091,0.052944913506507874,0.984375,0.44606778025627136,0.8640625
0.0005987369392383787,0.12276114523410797,0.96875,0.3828091323375702,0.84375
0.0005688000922764596,0.06895340979099274,0.96875,0.39009883999824524,0.8890625
0.0005403600876626366,0.1605425477027893,0.9375,0.43237051367759705,0.8484375
0.0005133420832795048,0.07308805733919144,0.96875,0.9298275113105774,0.828125
0.00048767497911552955,0.08896659314632416,0.984375,0.5582488179206848,0.825
0.000463291230159753,0.08250290900468826,0.9375,0.6070395708084106,0.859375
0.00044012666865176535,0.13479359447956085,0.953125,0.5173851847648621,0.85625
0.0004181203352191771,0.027689265087246895,0.984375,0.5515380501747131,0.8578125
0.0003972143184582182,0.1663750857114792,0.953125,0.49075642228126526,0.8609375
0.00037735360253530727,0.02967769466340542,1.0,0.709859311580658,0.846875
0.0003584859224085419,0.18790028989315033,0.9375,0.628726601600647,0.8328125
0.0003405616262881148,0.034431807696819305,1.0,0.44114890694618225,0.8640625
0.000323533544973709,0.0421954020857811,0.96875,0.5165097117424011,0.84375
0.00030735686772502356,0.10299111902713776,0.953125,0.5446488857269287,0.815625
0.0002919890243387724,0.11261575669050217,0.96875,0.6144043803215027,0.8453125
0.00027738957312183375,0.04061295464634895,0.984375,0.41734644770622253,0.89375
0.00026352009446574203,0.028171995654702187,1.0,0.8096904754638672,0.7953125
0.00025034408974245495,0.1992580145597458,0.984375,0.462541788816452,0.8609375
0.00023782688525533216,0.08892063051462173,0.953125,0.38191184401512146,0.88125
0.00022593554099256555,0.04291727393865585,0.984375,0.5350636839866638,0.8546875
0.00021463876394293727,0.1041828915476799,0.984375,0.47416988015174866,0.8796875
0.00020390682574579038,0.11187653988599777,0.953125,0.49483156204223633,0.859375
0.00019371148445850088,0.12786146998405457,0.96875,0.40776878595352173,0.884375
0.00018402591023557584,0.04303637146949768,0.984375,0.5328063368797302,0.8875
0.000174824614723797,0.028906768187880516,0.984375,0.4994733929634094,0.8609375
0.00016608338398760718,0.07131756842136383,0.984375,0.4459044933319092,0.8765625
0.0001577792147882268,0.08547080308198929,0.96875,0.6759388446807861,0.8171875
0.00014989025404881545,0.028507210314273834,0.984375,0.40658479928970337,0.8734375
0.00014239574134637466,0.04154912382364273,0.984375,0.9050633311271667,0.8265625
0.00013527595427905592,0.17256437242031097,0.953125,0.6087185740470886,0.8390625
0.00012851215656510312,0.05595814064145088,0.984375,0.4812459647655487,0.8578125
0.00012208654873684796,0.0720260739326477,0.984375,0.5344740748405457,0.859375
0.00011598222130000556,0.04436241835355759,0.984375,0.6214098334312439,0.83125
0.00011018311023500529,0.04549197852611542,0.984375,0.5757713913917542,0.84375
0.00010467395472325501,0.006137518677860498,1.0,0.4977768063545227,0.8796875
9.944025698709225e-05,0.009406325407326221,1.0,0.5753888487815857,0.8609375
9.446824413773763e-05,0.10196598619222641,0.96875,0.4289059340953827,0.878125
8.974483193085076e-05,0.011537113226950169,1.0,0.6017332673072815,0.8875
8.52575903343082e-05,0.010124734602868557,1.0,0.62605220079422,0.8734375
8.099471081759279e-05,0.0468604676425457,0.96875,0.4838446080684662,0.875
7.694497527671315e-05,0.018986772745847702,1.0,0.5073482990264893,0.875
7.30977265128775e-05,0.0282491035759449,1.0,0.5436839461326599,0.878125
6.94428401872336e-05,0.0655820444226265,0.984375,0.421204149723053,0.8953125
6.597069817787194e-05,0.07969597727060318,0.984375,0.47113433480262756,0.903125
6.267216326897833e-05,0.007175597827881575,1.0,0.6010981798171997,0.853125
5.953855510552941e-05,0.014880242757499218,1.0,0.7307664155960083,0.8453125
5.656162735025293e-05,0.12715186178684235,0.9375,0.5016471147537231,0.9078125
5.373354598274029e-05,0.026991521939635277,0.984375,0.5681499242782593,0.896875
